round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
1699,6,0,1,3,1,0,0,0,-36.0,0.2019
1700,7,0,1,2,1,0,0,0,-37.0,0.2017
1701,5,0,1,2,1,0,0,0,-72.0,0.2015
1702,15,0,2,4,1,0,0,0,-62.0,0.2013
1703,7,0,1,3,1,0,0,0,-46.0,0.2011
1704,5,0,1,4,1,0,0,0,-66.0,0.2009
1705,6,0,1,2,1,0,0,0,-39.0,0.2007
1706,7,0,1,6,1,0,0,0,-40.0,0.2005
1707,76,2,7,20,1,0,0,0,-68.0,0.2003
1708,7,0,1,2,1,0,0,0,-49.0,0.2001
1709,7,0,1,3,1,0,0,0,-44.0,0.1999
1710,5,0,1,3,1,0,0,0,-69.0,0.1997
1711,39,1,4,16,1,0,0,0,-66.0,0.1995
1712,25,1,3,11,1,0,0,0,-31.0,0.1993
1713,25,1,3,12,1,0,0,0,-53.0,0.1991
1714,194,4,14,28,1,3,0,0,-427.0,0.1989
1715,33,1,4,14,1,0,0,0,-76.0,0.1987
1716,47,0,6,17,1,0,0,0,-122.0,0.1985
1717,72,3,7,21,1,0,0,0,-145.0,0.1983
1718,84,2,9,25,1,0,0,0,-135.0,0.1981
1719,5,0,1,3,1,0,0,0,-69.0,0.1979
1720,22,0,3,9,1,0,0,0,-91.0,0.1977
1721,75,2,7,22,1,1,0,0,-92.0,0.1975
1722,244,3,16,31,1,1,0,0,-503.0,0.1973
1723,38,2,4,8,1,0,0,0,-112.0,0.1971
1724,90,4,8,18,1,0,0,0,-132.0,0.1969
1725,24,1,3,7,1,0,0,0,-106.0,0.1968
1726,29,0,4,14,1,0,0,0,-63.0,0.1966
1727,13,0,2,7,1,0,0,0,-56.0,0.1964
1728,62,2,6,19,1,0,0,0,-121.0,0.1962
1729,66,2,6,17,1,1,0,0,-240.0,0.196
1730,34,1,4,11,1,0,0,0,-94.0,0.1958
1731,22,0,3,9,1,0,0,0,-83.0,0.1956
1732,22,0,3,7,1,0,0,0,-117.0,0.1954
1733,83,1,9,21,1,0,0,0,-232.0,0.1952
1734,53,0,6,21,1,0,0,0,-131.0,0.195
1735,78,2,9,25,1,0,0,0,-134.0,0.1948
1736,22,1,3,9,1,0,0,0,-61.0,0.1946
1737,22,0,3,11,1,0,0,0,-42.0,0.1944
1738,30,0,4,12,1,0,0,0,-131.0,0.1942
1739,57,3,6,23,1,0,0,0,-75.0,0.194
