round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
3036,20,1,3,5,1,0,0,0,-75.0,0.1
3037,109,2,8,27,1,1,0,0,-236.0,0.1
3038,43,0,5,15,1,1,0,0,-132.0,0.1
3039,30,1,3,9,1,0,0,0,-86.0,0.1
3040,274,0,16,25,0,0,0,1,-750.0,0.1
3041,150,1,13,28,1,0,0,0,-413.0,0.1
3042,35,0,5,9,1,0,0,0,-119.0,0.1
3043,45,1,6,17,1,0,0,0,-66.0,0.1
3044,36,0,5,19,1,0,0,0,-90.0,0.1
3045,400,3,15,24,0,1,0,0,-901.0,0.1
3046,56,0,5,20,1,0,1,0,-111.0,0.1
3047,92,0,8,19,0,1,0,1,-137.0,0.1
3048,7,0,1,3,1,0,0,0,-44.0,0.1
3049,400,3,32,21,0,0,0,0,-1452.0,0.1
3050,20,0,3,8,1,0,0,0,-77.0,0.1
3051,52,0,7,19,1,0,0,0,-135.0,0.1
3052,170,2,13,30,1,3,0,0,-387.0,0.1
3053,239,3,12,25,1,4,0,0,-352.0,0.1
3054,400,4,16,25,0,3,0,0,-771.0,0.1
3055,126,2,8,16,0,1,1,1,-223.0,0.1
3056,91,1,8,21,1,2,0,0,-206.0,0.1
3057,44,1,4,12,1,0,0,0,-171.0,0.1
3058,114,2,11,21,1,1,0,0,-283.0,0.1
3059,27,1,3,13,1,0,0,0,-55.0,0.1
3060,15,0,2,6,1,0,0,0,-51.0,0.1
3061,5,0,1,4,1,0,0,0,-66.0,0.1
3062,50,2,5,16,1,1,0,0,-90.0,0.1
3063,123,3,8,22,1,3,0,0,-318.0,0.1
3064,99,1,9,22,1,0,0,0,-186.0,0.1
3065,29,0,3,10,1,0,0,0,-124.0,0.1
3066,9,0,1,3,1,0,0,0,-58.0,0.1
3067,143,3,9,28,1,0,0,0,-262.0,0.1
3068,27,0,3,9,1,0,0,0,-78.0,0.1
3069,45,1,5,15,1,1,0,0,-105.0,0.1
3070,24,0,3,10,1,0,0,0,-98.0,0.1
3071,22,0,3,12,1,0,0,0,-66.0,0.1
3072,55,1,4,14,1,1,0,0,-61.0,0.1
3073,53,0,3,10,1,0,0,0,-213.0,0.1
3074,7,0,1,1,1,0,0,0,-53.0,0.1
3075,16,0,2,7,1,0,0,0,-56.0,0.1
3076,211,1,13,18,1,2,0,0,-596.0,0.1
3077,51,1,6,19,1,0,0,0,-112.0,0.1
3078,188,1,12,29,1,0,0,0,-515.0,0.1
3079,21,0,3,8,1,0,0,0,-76.0,0.1
3080,15,1,2,5,1,0,0,0,-43.0,0.1
3081,14,0,2,8,1,0,0,0,-57.0,0.1
3082,148,2,11,27,1,2,0,0,-272.0,0.1
3083,62,2,6,19,1,0,0,0,-92.0,0.1
3084,332,7,19,35,1,0,0,0,-718.0,0.1
3085,7,0,1,5,1,0,0,0,-27.0,0.1
3086,17,2,2,7,1,0,0,0,-48.0,0.1
3087,40,1,4,14,1,1,0,0,-84.0,0.1
3088,46,0,5,15,1,0,0,0,-150.0,0.1
3089,98,0,6,13,0,0,0,1,-273.0,0.1
3090,17,0,2,6,1,0,0,0,-77.0,0.1
3091,14,0,2,5,1,0,0,0,-42.0,0.1
3092,39,1,5,7,0,1,0,1,-118.0,0.1
3093,107,2,8,15,1,0,0,0,-163.0,0.1
3094,400,2,22,25,0,0,0,0,-1144.0,0.1
3095,36,2,3,13,1,0,0,0,-80.0,0.1
3096,139,4,12,36,1,3,0,0,-145.0,0.1
3097,92,1,7,17,1,0,0,0,-171.0,0.1
3098,30,0,4,13,1,0,0,0,-101.0,0.1
3099,7,0,1,1,1,0,0,0,-50.0,0.1
3100,373,2,23,25,1,0,0,0,-1137.0,0.1
3101,139,3,13,28,1,1,0,0,-182.0,0.1
3102,7,0,1,2,1,0,0,0,-37.0,0.1
3103,17,0,2,6,1,0,0,0,-63.0,0.1
3104,82,2,6,14,1,0,0,0,-139.0,0.1
3105,265,3,20,44,0,2,1,1,-478.0,0.1
3106,214,5,13,35,0,1,1,1,-385.0,0.1
3107,58,2,4,16,1,0,0,0,-86.0,0.1
3108,64,0,4,12,0,1,0,1,-118.0,0.1
3109,35,1,3,9,0,2,0,1,-126.0,0.1
3110,38,0,3,8,1,0,0,0,-188.0,0.1
3111,233,3,16,21,1,3,0,0,-441.0,0.1
3112,117,4,8,18,0,0,1,1,-140.0,0.1
3113,86,2,4,9,0,2,0,1,-217.0,0.1
3114,196,2,13,31,1,2,0,0,-525.0,0.1
3115,59,1,6,24,1,1,0,0,-92.0,0.1
3116,400,4,19,30,0,3,0,0,-657.0,0.1
3117,22,0,3,7,1,0,0,0,-89.0,0.1
3118,60,2,6,22,1,0,0,0,-109.0,0.1
3119,191,3,11,29,0,1,0,1,-315.0,0.1
